Language	Split	Size	Replacement	Model	Score
nahuatl	34	500	with	Morfessor	23.198
nahuatl	34	500	with	0-CRF	58.584
nahuatl	34	500	with	Seq2seq	61.296
nahuatl	34	500	with	1-CRF	68.202
nahuatl	34	500	with	2-CRF	68.542
nahuatl	34	500	with	3-CRF	69.05199999999999
nahuatl	34	500	with	4-CRF	70.016
nahuatl	35	500	with	Morfessor	21.522
nahuatl	35	500	with	0-CRF	59.467999999999996
nahuatl	35	500	with	Seq2seq	62.036
nahuatl	35	500	with	1-CRF	68.046
nahuatl	35	500	with	2-CRF	68.604
nahuatl	35	500	with	4-CRF	69.616
nahuatl	35	500	with	3-CRF	69.842
nahuatl	36	500	with	Morfessor	22.902
nahuatl	36	500	with	Seq2seq	60.202
nahuatl	36	500	with	0-CRF	62.698
nahuatl	36	500	with	3-CRF	68.686
nahuatl	36	500	with	1-CRF	69.116
nahuatl	36	500	with	2-CRF	69.19
nahuatl	36	500	with	4-CRF	69.848
nahuatl	37	500	with	Morfessor	23.114
nahuatl	37	500	with	Seq2seq	62.982
nahuatl	37	500	with	0-CRF	64.292
nahuatl	37	500	with	1-CRF	72.196
nahuatl	37	500	with	2-CRF	72.328
nahuatl	37	500	with	3-CRF	73.64
nahuatl	37	500	with	4-CRF	73.72
nahuatl	38	500	with	Morfessor	23.688
nahuatl	38	500	with	Seq2seq	59.99
nahuatl	38	500	with	0-CRF	60.066
nahuatl	38	500	with	2-CRF	67.678
nahuatl	38	500	with	1-CRF	67.92999999999999
nahuatl	38	500	with	3-CRF	68.382
nahuatl	38	500	with	4-CRF	68.796
nahuatl	39	500	with	Morfessor	20.708
nahuatl	39	500	with	Seq2seq	59.968
nahuatl	39	500	with	0-CRF	62.702
nahuatl	39	500	with	2-CRF	68.2
nahuatl	39	500	with	1-CRF	68.66
nahuatl	39	500	with	4-CRF	68.94
nahuatl	39	500	with	3-CRF	69.064
nahuatl	40	500	with	Morfessor	22.77
nahuatl	40	500	with	Seq2seq	60.704
nahuatl	40	500	with	0-CRF	64.564
nahuatl	40	500	with	2-CRF	67.63
nahuatl	40	500	with	4-CRF	67.85
nahuatl	40	500	with	3-CRF	67.932
