Language	Split	Size	Replacement	Model	Score
wixarika	31	500	with	2-CRF	70.026
wixarika	32	500	with	Morfessor	39.938
wixarika	32	500	with	Seq2seq	61.0
wixarika	32	500	with	0-CRF	63.550000000000004
wixarika	32	500	with	1-CRF	69.686
wixarika	32	500	with	4-CRF	69.782
wixarika	32	500	with	3-CRF	69.83200000000001
wixarika	32	500	with	2-CRF	69.95
wixarika	33	500	with	Morfessor	37.397999999999996
wixarika	33	500	with	Seq2seq	61.89
wixarika	33	500	with	0-CRF	61.914
wixarika	33	500	with	1-CRF	67.474
wixarika	33	500	with	3-CRF	67.828
wixarika	33	500	with	4-CRF	68.038
wixarika	33	500	with	2-CRF	68.44200000000001
wixarika	34	500	with	Morfessor	38.016
wixarika	34	500	with	0-CRF	62.362
wixarika	34	500	with	Seq2seq	64.55
wixarika	34	500	with	1-CRF	70.88
wixarika	34	500	with	4-CRF	71.316
wixarika	34	500	with	2-CRF	71.896
wixarika	34	500	with	3-CRF	72.39399999999999
wixarika	35	500	with	Morfessor	38.46
wixarika	35	500	with	0-CRF	57.672
wixarika	35	500	with	Seq2seq	62.672
wixarika	35	500	with	4-CRF	67.038
wixarika	35	500	with	1-CRF	67.218
wixarika	35	500	with	3-CRF	67.664
wixarika	35	500	with	2-CRF	69.07
wixarika	36	500	with	Morfessor	38.484
wixarika	36	500	with	0-CRF	60.794
wixarika	36	500	with	Seq2seq	64.654
wixarika	36	500	with	1-CRF	69.152
wixarika	36	500	with	3-CRF	69.296
wixarika	36	500	with	2-CRF	69.976
wixarika	36	500	with	4-CRF	70.01
wixarika	37	500	with	Morfessor	36.818
wixarika	37	500	with	0-CRF	60.168
wixarika	37	500	with	Seq2seq	64.128
wixarika	37	500	with	2-CRF	67.786
wixarika	37	500	with	1-CRF	67.864
wixarika	37	500	with	4-CRF	68.442
wixarika	37	500	with	3-CRF	68.734
wixarika	38	500	with	Morfessor	37.578
wixarika	38	500	with	0-CRF	62.416000000000004
wixarika	38	500	with	Seq2seq	63.048
wixarika	38	500	with	1-CRF	70.35
wixarika	38	500	with	2-CRF	70.73
wixarika	38	500	with	3-CRF	71.30799999999999
wixarika	38	500	with	4-CRF	71.62
wixarika	39	500	with	Morfessor	36.262
wixarika	39	500	with	Seq2seq	61.602000000000004
wixarika	39	500	with	0-CRF	61.632000000000005
wixarika	39	500	with	1-CRF	67.982
wixarika	39	500	with	3-CRF	68.238
wixarika	39	500	with	4-CRF	68.424
wixarika	39	500	with	2-CRF	68.654
wixarika	40	500	with	Morfessor	37.166
wixarika	40	500	with	0-CRF	58.56
wixarika	40	500	with	Seq2seq	63.764
wixarika	40	500	with	4-CRF	66.772
wixarika	40	500	with	1-CRF	66.99
wixarika	40	500	with	2-CRF	67.348
wixarika	40	500	with	3-CRF	67.484
wixarika	41	500	with	Morfessor	39.796
wixarika	41	500	with	0-CRF	63.206
wixarika	41	500	with	Seq2seq	66.264
wixarika	41	500	with	2-CRF	69.724
wixarika	41	500	with	1-CRF	69.928
wixarika	41	500	with	3-CRF	69.996
wixarika	41	500	with	4-CRF	70.044
wixarika	42	500	with	Morfessor	36.128
wixarika	42	500	with	0-CRF	61.988
wixarika	42	500	with	Seq2seq	65.928
wixarika	42	500	with	4-CRF	67.794
wixarika	42	500	with	2-CRF	68.0
wixarika	42	500	with	1-CRF	68.124
wixarika	42	500	with	3-CRF	68.232
wixarika	43	500	with	Morfessor	38.93
wixarika	43	500	with	0-CRF	63.906
wixarika	43	500	with	Seq2seq	66.72
wixarika	43	500	with	1-CRF	70.318
wixarika	43	500	with	4-CRF	71.562
wixarika	43	500	with	3-CRF	71.578
wixarika	43	500	with	2-CRF	71.772
wixarika	44	500	with	Morfessor	39.948
wixarika	44	500	with	0-CRF	62.196
wixarika	44	500	with	Seq2seq	64.55199999999999
wixarika	44	500	with	1-CRF	68.762
wixarika	44	500	with	3-CRF	70.488
wixarika	44	500	with	2-CRF	70.584
wixarika	44	500	with	4-CRF	70.736
wixarika	45	500	with	Morfessor	37.024
wixarika	45	500	with	0-CRF	61.866
wixarika	45	500	with	Seq2seq	65.288
wixarika	45	500	with	1-CRF	68.01
wixarika	45	500	with	3-CRF	69.074
wixarika	45	500	with	2-CRF	69.456
wixarika	45	500	with	4-CRF	69.784
wixarika	46	500	with	Morfessor	37.252
wixarika	46	500	with	0-CRF	62.302
wixarika	46	500	with	Seq2seq	63.758
wixarika	46	500	with	1-CRF	69.412
wixarika	46	500	with	3-CRF	70.676
wixarika	46	500	with	4-CRF	70.98
wixarika	46	500	with	2-CRF	71.16
wixarika	47	500	with	Morfessor	41.078
wixarika	47	500	with	0-CRF	62.72
wixarika	47	500	with	Seq2seq	64.746
wixarika	47	500	with	3-CRF	72.16
wixarika	47	500	with	1-CRF	72.396
wixarika	47	500	with	2-CRF	73.016
wixarika	47	500	with	4-CRF	73.224
wixarika	48	500	with	Morfessor	36.57
wixarika	48	500	with	0-CRF	59.9
wixarika	48	500	with	Seq2seq	61.275999999999996
wixarika	48	500	with	1-CRF	67.65
wixarika	48	500	with	4-CRF	67.698
wixarika	48	500	with	3-CRF	68.582
wixarika	48	500	with	2-CRF	68.76599999999999
wixarika	49	500	with	Morfessor	36.512
wixarika	49	500	with	0-CRF	61.208
wixarika	49	500	with	Seq2seq	66.26
wixarika	49	500	with	2-CRF	70.024
wixarika	49	500	with	1-CRF	70.03999999999999
wixarika	49	500	with	4-CRF	70.05
wixarika	49	500	with	3-CRF	70.518
wixarika	50	500	with	Morfessor	36.322
wixarika	50	500	with	Seq2seq	64.644
wixarika	50	500	with	0-CRF	65.522
wixarika	50	500	with	4-CRF	71.114
wixarika	50	500	with	3-CRF	71.488
wixarika	50	500	with	1-CRF	72.508
wixarika	50	500	with	2-CRF	72.864
wixarika	1	500	without	Morfessor	37.82
wixarika	1	500	without	Seq2seq	55.589999999999996
wixarika	1	500	without	0-CRF	58.636
wixarika	1	500	without	1-CRF	64.22200000000001
wixarika	1	500	without	4-CRF	64.968
wixarika	1	500	without	2-CRF	65.12
wixarika	1	500	without	3-CRF	65.72200000000001
wixarika	2	500	without	Morfessor	36.452
wixarika	2	500	without	0-CRF	60.608
wixarika	2	500	without	Seq2seq	60.956
wixarika	2	500	without	1-CRF	67.174
wixarika	2	500	without	4-CRF	67.64399999999999
wixarika	2	500	without	2-CRF	68.074
wixarika	2	500	without	3-CRF	68.856
wixarika	3	500	without	Morfessor	38.108000000000004
wixarika	3	500	without	0-CRF	59.758
wixarika	3	500	without	Seq2seq	60.582
wixarika	3	500	without	1-CRF	66.80199999999999
wixarika	3	500	without	3-CRF	67.56400000000001
wixarika	3	500	without	2-CRF	68.01
wixarika	3	500	without	4-CRF	69.282
wixarika	4	500	without	Morfessor	37.808
wixarika	4	500	without	Seq2seq	59.246
wixarika	4	500	without	0-CRF	61.525999999999996
wixarika	4	500	without	1-CRF	67.542
wixarika	4	500	without	3-CRF	68.322
wixarika	4	500	without	2-CRF	68.432
wixarika	4	500	without	4-CRF	68.528
wixarika	5	500	without	Morfessor	37.516
wixarika	5	500	without	Seq2seq	56.924
wixarika	5	500	without	0-CRF	59.146
wixarika	5	500	without	4-CRF	65.89
wixarika	5	500	without	3-CRF	65.992
wixarika	5	500	without	1-CRF	66.016
wixarika	5	500	without	2-CRF	66.82600000000001
wixarika	6	500	without	Morfessor	35.646
wixarika	6	500	without	0-CRF	55.688
wixarika	6	500	without	Seq2seq	57.622
wixarika	6	500	without	1-CRF	63.141999999999996
wixarika	6	500	without	4-CRF	63.604
wixarika	6	500	without	3-CRF	63.775999999999996
wixarika	6	500	without	2-CRF	64.4
wixarika	7	500	without	Morfessor	34.362
wixarika	7	500	without	0-CRF	57.26
wixarika	7	500	without	Seq2seq	60.416
wixarika	7	500	without	1-CRF	66.042
wixarika	7	500	without	3-CRF	66.198
wixarika	7	500	without	4-CRF	67.13
wixarika	7	500	without	2-CRF	67.36800000000001
wixarika	8	500	without	Morfessor	37.954
wixarika	8	500	without	0-CRF	56.542
wixarika	8	500	without	Seq2seq	58.062
wixarika	8	500	without	4-CRF	64.202
wixarika	8	500	without	3-CRF	64.238
wixarika	8	500	without	2-CRF	64.494
wixarika	8	500	without	1-CRF	64.7
wixarika	9	500	without	Morfessor	35.083999999999996
wixarika	9	500	without	Seq2seq	59.056
wixarika	9	500	without	0-CRF	60.696
wixarika	9	500	without	1-CRF	65.742
wixarika	9	500	without	4-CRF	65.986
wixarika	9	500	without	2-CRF	66.30199999999999
wixarika	9	500	without	3-CRF	66.326
wixarika	10	500	without	Morfessor	35.556
wixarika	10	500	without	0-CRF	57.141999999999996
wixarika	10	500	without	Seq2seq	57.18
wixarika	10	500	without	1-CRF	66.508
wixarika	10	500	without	4-CRF	66.564
wixarika	10	500	without	3-CRF	67.04
wixarika	10	500	without	2-CRF	67.656
wixarika	11	500	without	Morfessor	35.242
wixarika	11	500	without	Seq2seq	58.546
wixarika	11	500	without	0-CRF	61.86
wixarika	11	500	without	2-CRF	67.128
wixarika	11	500	without	3-CRF	67.154
wixarika	11	500	without	1-CRF	67.586
wixarika	11	500	without	4-CRF	67.802
wixarika	12	500	without	Morfessor	36.412
wixarika	12	500	without	Seq2seq	55.922
wixarika	12	500	without	0-CRF	57.403999999999996
wixarika	12	500	without	4-CRF	65.23
wixarika	12	500	without	1-CRF	65.482
wixarika	12	500	without	3-CRF	66.636
wixarika	12	500	without	2-CRF	67.09
wixarika	13	500	without	Morfessor	34.808
wixarika	13	500	without	0-CRF	59.498
wixarika	13	500	without	Seq2seq	60.466
wixarika	13	500	without	1-CRF	65.618
wixarika	13	500	without	4-CRF	65.656
wixarika	13	500	without	2-CRF	66.086
wixarika	13	500	without	3-CRF	66.386
wixarika	14	500	without	Morfessor	36.818
wixarika	14	500	without	0-CRF	58.068
wixarika	14	500	without	Seq2seq	59.822
wixarika	14	500	without	1-CRF	64.742
wixarika	14	500	without	4-CRF	65.736
wixarika	14	500	without	3-CRF	66.328
wixarika	14	500	without	2-CRF	66.624
wixarika	15	500	without	Morfessor	37.564
wixarika	15	500	without	0-CRF	56.924
wixarika	15	500	without	Seq2seq	58.608
wixarika	15	500	without	1-CRF	65.894
wixarika	15	500	without	2-CRF	66.106
wixarika	15	500	without	3-CRF	66.424
wixarika	15	500	without	4-CRF	67.148
wixarika	16	500	without	Morfessor	37.438
wixarika	16	500	without	0-CRF	58.282
wixarika	16	500	without	Seq2seq	59.21
wixarika	16	500	without	4-CRF	66.84400000000001
wixarika	16	500	without	2-CRF	67.344
wixarika	16	500	without	3-CRF	67.354
wixarika	16	500	without	1-CRF	67.418
wixarika	17	500	without	Morfessor	37.572
wixarika	17	500	without	Seq2seq	60.074
wixarika	17	500	without	0-CRF	60.294000000000004
wixarika	17	500	without	1-CRF	66.676
wixarika	17	500	without	3-CRF	68.132
wixarika	17	500	without	2-CRF	68.446
wixarika	17	500	without	4-CRF	68.664
wixarika	18	500	without	Morfessor	38.22
wixarika	18	500	without	0-CRF	58.232
wixarika	18	500	without	Seq2seq	58.322
wixarika	18	500	without	4-CRF	65.65
wixarika	18	500	without	3-CRF	66.0
wixarika	18	500	without	2-CRF	66.008
wixarika	18	500	without	1-CRF	66.28399999999999
wixarika	19	500	without	Morfessor	39.342
wixarika	19	500	without	0-CRF	58.766
wixarika	19	500	without	Seq2seq	63.407999999999994
wixarika	19	500	without	1-CRF	67.206
wixarika	19	500	without	3-CRF	67.496
wixarika	19	500	without	2-CRF	67.608
wixarika	19	500	without	4-CRF	68.334
wixarika	20	500	without	Morfessor	35.748
wixarika	20	500	without	0-CRF	56.658
wixarika	20	500	without	Seq2seq	58.164
wixarika	20	500	without	1-CRF	62.318
wixarika	20	500	without	4-CRF	62.53
wixarika	20	500	without	3-CRF	63.412
wixarika	20	500	without	2-CRF	64.104
wixarika	21	500	without	Morfessor	36.476
wixarika	21	500	without	0-CRF	58.282
wixarika	21	500	without	Seq2seq	60.368
wixarika	21	500	without	1-CRF	66.06400000000001
wixarika	21	500	without	4-CRF	66.44800000000001
wixarika	21	500	without	3-CRF	67.302
wixarika	21	500	without	2-CRF	67.592
wixarika	22	500	without	Morfessor	34.952
wixarika	22	500	without	0-CRF	57.982
wixarika	22	500	without	Seq2seq	60.368
wixarika	22	500	without	3-CRF	64.188
wixarika	22	500	without	4-CRF	64.682
wixarika	22	500	without	2-CRF	65.208
wixarika	22	500	without	1-CRF	65.224
wixarika	23	500	without	Morfessor	35.104
